,rent_type_合租,rent_type_整租,rent_type_nan,floor,独立卫生间,电视,is_broker,阳台,area,沙发,facilities_null,热水器,衣柜,price,独立阳台,床,crawl_time,独卫,toilet_num,room_num,floor_total,decoration
323,0,1,0,2,0,0,1,0,180,0,1,0,0,13000,0,0,296,0,2,3,32,3
324,0,1,0,3,0,0,1,0,137,0,0,0,0,8000,0,1,297,0,2,3,9,4
325,1,0,0,2,0,1,1,1,22,1,0,1,1,2000,0,1,292,0,1,3,18,3
326,0,1,0,3,1,1,1,1,101,1,0,1,1,9000,0,1,318,0,1,2,25,3
327,0,1,0,1,0,0,1,0,110,0,0,0,0,9000,1,0,85,1,2,2,24,5
328,0,1,0,2,0,1,1,0,50,0,0,1,0,1800,0,1,274,0,1,2,6,3
329,0,1,0,2,0,0,1,0,50,0,1,0,0,2900,0,0,294,0,1,1,15,3
330,1,0,0,1,0,1,1,1,26,1,0,1,1,1650,0,1,292,0,1,3,6,4
331,1,0,0,3,0,1,1,1,16,1,0,1,1,1200,0,1,297,0,1,4,6,3
332,0,1,0,3,1,1,1,1,63,1,0,1,1,7800,0,1,295,0,1,1,22,4
333,0,1,0,1,0,1,1,0,20,1,0,1,1,2000,1,1,99,1,1,3,18,4
334,1,0,0,2,0,1,1,0,12,1,0,1,1,850,1,1,91,1,1,2,25,3
335,0,1,0,3,1,1,0,0,45,0,0,1,1,3500,0,1,267,0,1,1,26,4
336,0,1,0,2,0,1,1,0,65,1,0,1,1,3100,0,1,85,0,1,1,28,3
337,1,0,0,3,0,0,1,0,92,0,0,1,0,1800,0,1,135,0,1,4,11,4
338,1,0,0,2,1,1,1,1,26,1,0,1,1,2100,0,1,297,0,1,2,6,3
339,0,1,0,1,0,1,1,0,65,1,0,1,1,6800,1,1,85,1,1,2,6,4
340,1,0,0,2,1,1,0,1,16,1,0,1,1,800,0,1,292,0,1,2,6,3
341,0,1,0,2,1,1,1,0,56,1,0,1,1,4500,0,1,274,0,1,1,11,3
342,1,0,0,1,0,1,1,0,10,1,0,1,1,800,1,1,167,1,1,3,12,4
343,0,1,0,2,1,1,1,1,60,1,0,1,1,1300,0,1,318,0,1,2,18,3
344,0,1,0,1,0,0,1,0,68,0,1,0,0,5700,0,0,319,0,1,2,6,4
345,0,1,0,2,1,1,1,1,50,1,0,1,1,5100,0,1,295,0,1,1,14,3
346,1,0,0,3,0,0,0,1,25,1,0,1,1,2490,0,1,264,0,2,4,6,3
347,0,1,0,3,1,1,1,1,60,1,0,1,1,4000,0,1,322,0,1,1,21,3
348,1,0,0,3,0,1,1,0,15,1,0,1,1,1900,1,1,89,1,1,1,22,4
349,0,1,0,1,1,1,1,1,90,1,0,1,1,3500,0,1,294,0,1,2,27,3
350,1,0,0,1,0,0,1,0,157,0,0,1,1,1700,0,1,125,0,1,3,6,4
351,0,1,0,2,0,1,1,0,58,1,0,1,1,5300,1,1,147,1,1,2,18,3
352,1,0,0,1,0,1,0,1,15,1,0,1,1,1600,0,1,322,0,1,3,6,4
353,1,0,0,2,0,1,1,0,20,1,0,1,1,2199,0,1,267,0,2,3,6,3
354,1,0,0,2,0,1,1,0,10,1,0,1,1,800,1,1,83,1,1,3,17,3
355,0,1,0,1,0,0,1,0,88,0,0,0,0,8200,0,1,295,0,1,2,18,4
356,0,1,0,3,0,1,1,0,133,1,0,1,1,5300,1,1,85,1,2,3,6,4
357,0,1,0,3,1,1,1,1,70,1,0,1,1,3300,0,1,295,0,1,1,6,4
358,0,1,0,1,1,1,1,1,65,1,0,1,1,6300,0,1,296,0,1,2,22,3
359,1,0,0,3,0,1,1,0,15,1,0,1,1,2300,1,1,85,1,1,1,16,4
360,1,0,0,2,1,1,0,1,22,1,0,1,1,1600,0,1,319,0,1,3,6,3
361,0,1,0,2,1,1,1,1,65,1,0,1,1,4500,0,1,263,0,1,1,18,3
362,0,1,0,2,1,1,1,1,18,1,0,1,1,4200,0,1,317,0,1,2,12,3
363,0,1,0,2,1,1,1,1,60,1,0,1,1,3800,0,1,270,0,1,1,6,3
364,0,1,0,2,1,1,0,1,80,1,0,1,1,3800,0,1,297,0,1,2,13,3
365,0,1,0,1,0,1,1,0,60,1,0,1,1,6600,1,1,85,1,1,2,6,4
366,0,1,0,3,1,1,1,1,120,1,0,1,1,2900,0,1,279,0,2,3,6,3
367,0,1,0,3,1,1,1,1,74,1,0,1,1,3700,0,1,321,0,1,2,6,3
368,0,1,0,3,1,1,1,1,70,1,0,1,1,6000,0,1,292,0,1,3,6,4
369,0,1,0,2,1,1,1,1,116,1,0,1,1,2350,0,1,270,0,2,3,24,3
370,0,1,0,3,1,0,1,1,90,1,0,1,1,3000,0,1,267,0,1,3,6,4
371,1,0,0,1,1,1,1,1,20,1,0,1,1,2000,0,1,317,0,1,2,16,4
372,0,1,0,1,1,1,1,1,63,1,0,1,1,3800,0,1,265,0,1,1,15,4
373,0,1,0,2,1,1,1,1,68,1,0,1,1,5200,0,1,322,0,1,2,6,3
374,1,0,0,2,1,1,0,1,22,1,0,1,1,1800,0,1,294,0,2,3,29,3
375,0,1,0,2,1,1,1,1,70,1,0,1,1,4500,0,1,268,0,1,2,18,3
376,0,1,0,1,1,1,1,1,20,1,0,1,1,2450,0,1,317,0,1,1,30,3
377,0,1,0,1,1,1,1,1,68,1,0,1,1,5300,0,1,320,0,1,2,6,4
378,1,0,0,2,1,1,1,1,20,1,0,1,1,2100,0,1,322,0,1,3,11,3
379,0,1,0,2,0,1,1,0,75,1,0,1,1,6600,1,1,85,1,1,2,16,3
380,0,1,0,2,1,1,0,1,60,1,0,1,1,4700,0,1,269,0,1,2,6,3
381,1,0,0,2,0,1,1,0,12,1,0,1,1,800,1,1,90,1,1,2,12,3
382,0,1,0,2,1,1,1,1,91,1,0,1,1,4300,0,1,297,0,1,2,22,3
383,0,1,0,2,1,1,1,1,72,1,0,1,1,5800,0,1,321,0,1,2,24,3
384,1,0,0,2,1,1,1,1,16,1,0,1,1,1300,0,1,319,0,1,3,6,3
385,0,1,0,3,1,1,1,1,65,1,0,1,1,4500,0,1,319,0,1,2,6,4
386,1,0,0,2,1,1,1,1,20,1,0,1,1,2500,0,1,319,0,1,2,19,3
387,1,0,0,1,1,1,1,1,20,1,0,1,1,999,0,1,294,0,1,3,6,4
388,0,1,0,2,0,1,1,0,93,0,0,1,0,7800,0,1,322,0,1,2,18,3
389,0,1,0,1,1,1,1,1,74,1,0,1,1,5900,0,1,322,0,1,2,6,4
390,0,1,0,3,1,1,1,1,120,1,0,1,1,3500,0,1,319,0,2,3,6,4
391,0,1,0,1,1,1,0,1,70,1,0,1,1,5000,0,1,322,0,1,2,6,3
392,0,1,0,1,0,1,1,0,95,0,0,1,0,2000,0,0,268,0,1,2,6,3
393,1,0,0,2,1,1,0,1,26,1,0,1,1,2000,0,1,277,0,2,3,6,3
394,0,1,0,2,0,1,1,0,60,1,0,1,1,5888,1,1,104,1,1,1,23,3
395,0,1,0,3,0,0,1,0,96,0,0,0,0,9000,0,1,323,0,1,2,23,2
396,0,1,0,2,1,1,1,1,15,1,0,1,1,2000,0,1,297,0,1,1,6,3
397,0,1,0,3,0,1,1,0,130,1,0,1,1,14500,1,1,86,1,2,3,6,4
398,1,0,0,1,0,1,1,0,10,1,0,1,1,1830,1,1,85,1,1,3,15,4
399,0,1,0,2,1,1,1,1,96,1,0,1,1,3500,0,1,317,0,1,2,6,3
400,0,1,0,2,1,1,0,1,36,1,0,1,1,850,0,1,294,0,1,1,19,3
401,0,1,0,3,0,1,1,0,103,0,0,1,0,4000,0,0,320,0,1,2,6,2
