agency_name,broker_id,score,property_fee,house_count,building_count,floor,price,rent_type,pay_type,direction,room_type,is_broker,floor_total,complete_time,hall_num,room_num,area,toilet_num, 公交, 医院, 地铁, 学校, 旅游景点, 美食, 购物, 酒店, 银行,distance1000,distance1500,distance2000,distance500,crawl_time,decoration,district,zone,facilities
我爱我家,fang_2136522,36.2,1.5,451,6,中,4100,整租,(押一付年),南,,1,16,1981,1,1,50,1,20,20,6,20,17,20,20,20,20,103,88,95,38,2018/1/13 20:00,中,海淀,定慧寺,电视|空调|热水器|洗衣机|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
,,24.15,1.58,761,4,高,6800,整租,押零付一,东西,,1,6,2004,1,2,62,1,20,20,3,20,20,20,20,20,20,155,91,35,59,2018/1/14 1:00,中,海淀,北太平庄,电视|空调|热水器|洗衣机|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
链家地产,fang_2122070,19.52,1.6,550,2,低,8500,整租,付十二,西,,1,14,2001,1,1,58,1,20,20,2,20,20,20,20,20,20,92,73,67,73,2018/1/14 6:00,精,海淀,甘家口,电视|空调|热水器|洗衣机|冰箱|床|暖气|宽带网
纳什空间,fang_2221645,24.98,1.6,251,2,高,12500,整租,押一付二,东南,,1,22,2000,1,3,180,1,20,20,4,20,20,20,20,20,20,66,130,82,33,2018/1/14 11:00,中,海淀,五棵松,电视|空调|热水器|洗衣机|冰箱|床|暖气|宽带网
,,37.59,1.6,690,3,低,1050,整租,押一付半年peizhi[],南北,,0,15,2006,1,1,41,1,20,20,3,20,20,20,20,20,20,143,110,25,30,2018/1/14 16:00,豪,海淀,军博,电视|空调|热水器|洗衣机|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台
中润置家,fang_2233722,20.42,1.6,572,4,低,3999,合租,押3付4,南,次,1,12,1999,1,1,18,1,20,20,3,20,14,20,20,20,20,195,108,24,99,2018/1/14 21:00,豪,海淀,西北旺,电视|空调|热水器|洗衣机|微波炉|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭
亿成房地产,fang_1300910,45.27,1.65,1426,4,中,4000,整租,押二付半年,南北,,1,6,2004,1,1,58,1,,5,,,,,,,4,1,3,,5,2018/1/15 2:00,中,海淀,马连洼,
链家地产,fang_2228217,12.07,1.68,4694,54,高,8500,整租,(押一付三 - 租房贷),西,,1,20,2007,1,1,77,1,20,20,9,20,20,20,20,20,20,118,70,111,84,2018/1/15 7:00,中,海淀,苏州街,电视|空调|热水器|洗衣机|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
,,32.34,1.69,204,2,高,11000,整租,押三付二,南北,,1,30,2006,2,3,138,2,20,14,7,20,19,20,20,20,20,71,90,70,31,2018/1/15 12:00,中,海淀,五道口,电视|空调|热水器|洗衣机|冰箱|床|暖气|宽带网
我爱我家,fang_2226862,36.28,1.75,480,2,,7200,整租,押二付四,南,,1,5,2004,1,2,75,1,20,20,9,20,20,20,20,20,20,92,83,77,82,2018/1/15 17:00,中,海淀,五道口,电视|空调|热水器|洗衣机|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
阳光乐居,fang_2226414,35.25,1.76,745,3,低,2800,合租,面议,南,主,1,18,2005,1,3,18,1,20,19,6,20,20,20,20,20,20,113,62,66,106,2018/1/15 22:00,精,海淀,车道沟,电视|空调|热水器|洗衣机|冰箱|床|暖气|宽带网
,,24.11,1.78,264,1,,3800,整租,付二,南北,,0,4,2005,1,2,56,1,20,20,13,20,20,20,20,20,20,119,84,85,71,2018/1/16 3:00,精,海淀,西三旗,电视|空调|热水器|洗衣机|微波炉|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
